rank,spine_id,name,ktcda_name,custodian,corporation,ward,footprint_ha,season,clear_passes,need_class,need_reason,condition_band,condition_inputs,stakes,tractability,urgency,programme,programme_detail,programme_source_class,kspcb_class,need_index,confidence,W1,W2,W2_band,Q1,Q1_p7,W2_p7,H2,B1,B1_change_2019,froth_events_per_year_2019_25,custody_lakes_downstream,buildings_in_catchment,cascade_position,boundary_confidence,flags,band_notes
52,gba-bbmp-088,Subrayana Lake,Subbarayana Lake,BBMP,South,Kothanur,1.07,pre-monsoon (Mar-May) 2026,20,Design first,vegetation 100%; holds 0% of its extent; nothing on record; boundary or built-up question,E,C1=E C4=E C8=A,Medium (lifted: cascade),Unknown,Rising,none,,,,2.6,insufficient,0.0,1.0,0.0503,,,98.6,0.0,,,0.43,3,542,1,medium,,
53,gba-bbmp-065,Garvebhavipalya lake,Garveybhavipalya Lake,BBMP,South,Bandepalya,7.39,monsoon (Jun-Sep) 2026,6,Design first,vegetation 84%; holds 0% of its extent; built 11%; nothing on record,E,C1=E(D/E) C3=D(C/D) C4=E C8=B,Medium,Medium,Steady,none,,,,2.35,medium,0.0,0.8414,0.0819,,,25.0,0.0,0.1095,-0.102,1.71,1,819,1,medium,osm_mostly_dry,C1 candidates D/E; C3 candidates C/D
54,gba-bbmp-040,Vibhuthipura kere (Lal Bahadur Shastri Nagar Lake),Vibhuthipura kere,BBMP,East,Vignananagara,13.18,monsoon (Jun-Sep) 2026,9,Design first,vegetation 56%; holds 21% of its extent; chlorophyll proxy 0.27; built 11%; regulator E; nothing on record,E,C1=E(D/E) C3=D(C/D) C4=E C5=D(C/D) C8=C G2=E,Medium,Medium,Steady,none,,,E,2.35,low,0.1619,0.5592,0.0835,0.2675,70.6,31.2,0.212,0.1134,0.04,3.71,1,4573,1,low,assignment_unverified,C1 candidates D/E; C3 candidates C/D; C5 candidates C/D
55,gba-bbmp-059,Iblur Lake,Ibblur Lake,BBMP,South,Iblur,6.72,monsoon (Jun-Sep) 2026,6,Design first,holds 7% of its extent; froth 32/yr; regulator D; nothing on record,E,C1=E C3=A(A/B) C4=C(B/C/D) C5=C(C/D) C8=E G2=D,Medium,Medium,Steady,none,,,D,2.35,low,0.0643,0.2088,0.0972,0.1834,73.7,93.3,0.066,0.0,-0.639,32,1,273,5,low,observed_max_dominates,C3 candidates A/B; C4 candidates B/C/D; C5 candidates C/D
56,gba-bbmp-097,Kodige Singasandra Lake (Begur Kere),Kodige Singasandra Lake,BBMP,South,Singasandra,3.13,monsoon (Jun-Sep) 2026,7,Design first,vegetation 85%; holds 0% of its extent; regulator D; nothing on record,E,C1=E C3=B(B/C) C4=E C8=B G2=D,Medium (lifted: cascade),Medium,Steady,none,,,D,2.35,low,0.0,0.8496,0.0982,,,90.2,0.0,0.0315,0.032,2.43,2,563,2,low,assignment_unverified,C3 candidates B/C
57,gba-bbmp-136,Halagevader Halli Lake,Halage vaderahalli Lake,BBMP,West,Rajarajeshwari Nagara,2.89,monsoon (Jun-Sep) 2026,7,Design first,vegetation 61%; holds 26% of its extent; built 14%; nothing on record,E,C1=E(D/E) C3=D C4=E C5=B C8=B,Medium (lifted: cascade),Medium,Steady,none,,,,2.35,low,0.1556,0.6061,0.1165,0.0523,26.9,59.4,0.26,0.1383,0.019,0.86,1,5445,1,medium,,C1 candidates D/E
58,gba-bbmp-095,Konanakunte Lake,Konanakunte Lake,BBMP,South,Konanakunte,2.03,monsoon (Jun-Sep) 2026,6,Design first,vegetation 96%; holds 6% of its extent; built 30%; nothing on record; boundary or built-up question,E,C1=E(D/E) C3=E C4=E C8=B,Medium (lifted: cascade),Low,Steady,none,,,,2.35,low,0.0172,0.9629,0.0815,,,48.1,0.062,0.3011,-0.001,1,3,103,1,medium,osm_mostly_dry,C1 candidates D/E
59,gba-bbmp-092,Vasanthapura Kere / Janardhana Kere,Vasanthapura Kere / Janardhana Kere,BBMP,South,Vasanthapura,1.81,monsoon (Jun-Sep) 2026,4,Design first,no open water seen since 2017; nothing on record,E,C3=E C4=E C8=A,Medium (lifted: cascade),Unknown,Steady,none,,,,2.35,low,0.0,0.9828,0.0751,,,40.0,,1.0,0.0,0.14,2,760,2,low,no_water_observed;osm_mostly_dry,no open water observed 2017-2026: boundary and hydrology to scope
60,gba-bbmp-057,B Channasandra Lake,Channasandra,BBMP,Central,Kasturi Nagar,1.7,monsoon (Jun-Sep) 2026,6,Design first,vegetation 96%; holds 0% of its extent; built 100%; nothing on record; boundary or built-up question,E,C1=E(B/E) C3=E C4=E C8=A,Medium (lifted: cascade),Low,Steady,none,,,,2.35,low,0.0,0.9559,0.0881,,,25.6,0.0,1.0,0.0,0.29,2,989,1,low,osm_mostly_dry;assignment_unverified,C1 candidates B/E
61,gba-bbmp-018,Garudacharpalya Lake,Garudachar Palya Lake,BBMP,East,Garudachar Palya,1.68,monsoon (Jun-Sep) 2026,9,Design first,holds 32% of its extent; froth 12/yr; regulator E; nothing on record; boundary or built-up question,E,C1=D(D/E) C4=B(A/B/D) C5=B(A/B/D) C8=E G2=E,Medium (lifted: cascade),Unknown,Steady,none,,,E,2.35,low,0.2745,0.1965,0.1389,0.0943,12.1,37.5,0.316,,,12,2,679,1,medium,,C1 candidates D/E; C4 candidates A/B/D; C5 candidates A/B/D
62,gba-bbmp-084,Chikka Kammanahalli,Chikkammanahalli Lake,BBMP,South,Doddakammanahalli,1.45,monsoon (Jun-Sep) 2026,7,Design first,vegetation 100%; holds 0% of its extent; nothing on record; boundary or built-up question,E,C1=E C4=E C8=A,Medium (lifted: cascade),Unknown,Steady,none,,,,2.35,low,0.0,1.0,0.0502,,,75.8,0.0,,,0.43,2,1278,2,medium,,
63,gba-bbmp-068,Uttarahalli Lake,Uttarahalli Lake / Bangalore South,BBMP,South,Subramanyapura,4.41,monsoon (Jun-Sep) 2026,7,Design first,vegetation 57%; holds 26% of its extent; chlorophyll proxy 0.20; built 19%; regulator E; nothing on record,E,C1=E(D/E) C3=D(D/E) C4=E C5=D(B/D) C8=B G2=E,Low,Medium,Rising,none,,,E,2.3,low,0.2322,0.5715,0.105,0.2026,12.0,96.0,0.265,0.1853,-0.024,2.43,0,2276,1,medium,,C1 candidates D/E; C3 candidates D/E; C5 candidates B/D
64,gba-bbmp-082,Beratena Agrahara Lake,Beretena Agrahara (Chowdeshwari Lake),BBMP,South,Chikkathoguru,2.73,monsoon (Jun-Sep) 2026,10,Design first,vegetation 52%; holds 0% of its extent; built 100%; nothing on record; boundary or built-up question,E,C1=E C3=E C4=E(D/E) C8=C,Low,Low,Rising,none,,,,2.3,low,0.0032,0.5219,0.1245,,,38.1,0.005,1.0,0.851,3.86,0,593,1,medium,,C4 candidates D/E
65,gba-bbmp-070,Gubbalala Kere,Gubbalalu Lake,BBMP,South,Subramanyapura,2.0,monsoon (Jun-Sep) 2026,5,Design first,vegetation 93%; holds 0% of its extent; built 17%; regulator E; nothing on record,E,C1=E C3=D C4=E C8=B G2=E,Low,Medium,Rising,none,,,E,2.3,low,0.0,0.9336,0.0921,,,96.0,0.0,0.1724,0.172,0.57,1,1054,3,medium,,
66,gba-bbmp-116,Lingadeeranahalli,Lingadeeranahalli,BBMP,South,Talagattapura,1.75,monsoon (Jun-Sep) 2026,6,Design first,vegetation 98%; holds 0% of its extent; built 32%; nothing on record; boundary or built-up question,E,C1=E(A/E) C3=E C4=E C8=A,Low,Low,Rising,none,,,,2.3,low,0.0,0.9848,0.0723,,,29.2,0.0,0.3203,0.316,0.14,0,444,1,medium,osm_mostly_dry,C1 candidates A/E
67,gba-bbmp-091,Kembathahali kere,Kembathahalli Lake,BBMP,South,Anjanapura,1.73,monsoon (Jun-Sep) 2026,5,Design first,vegetation 51%; holds 4% of its extent; built 49%; regulator D; nothing on record; boundary or built-up question,E,C1=E C3=E C4=E(D/E) C8=B G2=D,Low,Low,Rising,none,,,D,2.3,low,0.0289,0.5102,0.1462,,,53.3,0.038,0.4924,0.268,1.29,0,477,1,medium,,C4 candidates D/E
68,gba-bbmp-135,Pattangere / Kenchenahalli lake (Kenchanahalli Lake),Pattangere/Kenchenahalli lake,BBMP,West,Rajarajeshwari Nagara,1.55,monsoon (Jun-Sep) 2026,7,Design first,no open water seen since 2017; nothing on record,E,C3=E C4=E C8=A,Low,Unknown,Rising,none,,,,2.3,low,0.0,0.9913,0.069,,,14.8,,0.9857,0.405,0,0,1029,2,low,no_water_observed;osm_mostly_dry,no open water observed 2017-2026: boundary and hydrology to scope
69,gba-bbmp-158,Chokkanahalli Lake,Chokkanahalli Lake,BBMP,North,Sampigehalli,0.9,monsoon (Jun-Sep) 2026,8,Design first,vegetation 35%; holds 5% of its extent; froth 37/yr; budget line on record; boundary or built-up question,E,C1=E C4=D(A/D/E) C8=E,Low,Unknown,Rising,proposed,BBMP budget 2025-26 (24 lakes; Rs 50 cr),press,,2.3,insufficient,0.0353,0.3525,0.2637,,,95.0,0.049,,,37.43,0,0,,low,osm_mostly_dry;observed_max_dominates,C4 candidates A/D/E
70,gba-bbmp-165,Mestripalya Lake,Mestripalya Lake,BBMP,South,Kormangala East,2.3,monsoon (Jun-Sep) 2026,6,Design first,vegetation 99%; holds 0% of its extent; built 69%; nothing on record; boundary or built-up question,E,C1=E C3=E C4=E C8=A,Low,Low,Steady,none,,,,2.05,low,0.0,0.9863,0.0689,,,74.2,0.0,0.6947,0.049,0.29,0,680,1,medium,osm_mostly_dry,
71,gba-bbmp-187,Chikkalasandra lake,Chikkakalasandra Lake,BBMP,South,Padmanabhanagara,2.17,monsoon (Jun-Sep) 2026,9,Design first,no open water seen since 2017; nothing on record,E,C3=E C4=E C8=A,Low,Unknown,Steady,none,,,,2.05,low,0.0,0.617,0.1269,,,11.1,,1.0,0.0,0.29,1,667,1,low,no_water_observed;osm_mostly_dry,no open water observed 2017-2026: boundary and hydrology to scope
72,gba-bbmp-134,Bheemanakatte Lake,Bheemana Katte,BBMP,West,Bangarappa Nagara,1.0,monsoon (Jun-Sep) 2026,6,Design first,vegetation 64%; holds 28% of its extent; froth 14/yr; nothing on record; boundary or built-up question,E,C1=E(B/E) C4=E C8=E,Low,Unknown,Steady,none,,,,2.05,insufficient,0.0849,0.6387,0.1887,,,59.4,0.283,,,14.43,0,0,,medium,osm_mostly_dry,C1 candidates B/E
73,gba-bbmp-106,Vishwaneedam Lake Bangalore North (Herohalli Thotadakere),Vishwaneedam Lake Bangalore North,BBMP,West,Byadarahalli,0.95,monsoon (Jun-Sep) 2026,5,Design first,vegetation 76%; holds 0% of its extent; nothing on record; boundary or built-up question,E,C1=E C4=E C8=A,Low,Unknown,Steady,none,,,,2.05,insufficient,0.0,0.7569,0.1793,,,64.3,0.0,,,0,0,0,,low,assignment_unverified,
74,gba-bbmp-024,Panathur Chikka Kere,Panathur lake,BBMP,East,Gunjur,0.94,monsoon (Jun-Sep) 2026,6,Design first,holds 17% of its extent; regulator E; nothing on record; boundary or built-up question,E,C1=E(D/E) C4=B(A/B/D) C5=C(B/C/D) C8=B G2=E,Low,Unknown,Steady,none,,,E,2.05,insufficient,0.1379,0.1885,0.1545,0.1444,81.2,89.5,0.166,,,2.29,0,0,,low,assignment_unverified,C1 candidates D/E; C4 candidates A/B/D; C5 candidates B/C/D
75,gba-bbmp-033,Junnasandra lake,Junnasandra lake,BBMP,South,Kasavanahalli,0.79,monsoon (Jun-Sep) 2026,9,Design first,holds 2% of its extent; froth 35/yr; nothing on record; boundary or built-up question,E,C1=E C4=A C8=E,Low,Unknown,Steady,none,,,,2.05,insufficient,0.0221,0.0,0.0505,,,16.7,0.022,,,34.86,0,0,,low,assignment_unverified,
76,gba-bbmp-132,Srigandakaval Lake,Srigandadkaval,BBMP,West,Srigandada Kaval,0.62,monsoon (Jun-Sep) 2026,6,Design first,vegetation 96%; holds 0% of its extent; nothing on record; boundary or built-up question,E,C1=E C4=E C8=B,Low,Unknown,Steady,none,,,,2.05,insufficient,0.0,0.9636,0.1162,,,66.7,0.0,,,0.86,0,0,,medium,osm_mostly_dry,
77,gba-bbmp-115,Jogi kere,Jogi kere / Bangalore South,BBMP,South,Talagattapura,0.58,monsoon (Jun-Sep) 2026,4,Design first,vegetation 62%; holds 10% of its extent; nothing on record; boundary or built-up question,E,C1=E(D/E) C4=E(D/E) C8=A,Low,Unknown,Steady,none,,,,2.05,insufficient,0.0433,0.6239,0.2331,,,87.1,0.1,,,0.43,0,0,,medium,,C1 candidates D/E; C4 candidates D/E
78,gba-bbmp-159,Venkateshapura Lake,Venkateshapura Lake,BBMP,North,Sampigehalli,0.46,monsoon (Jun-Sep) 2026,7,Design first,vegetation 74%; holds 0% of its extent; nothing on record; boundary or built-up question,E,C1=E C4=E C8=C,Low,Unknown,Steady,none,,,,2.05,insufficient,0.0,0.7407,0.246,,,40.0,0.0,,,5.43,0,0,,medium,osm_mostly_dry,
79,gba-bbmp-096,Kalyanikunte (Near Saibaba Temple) (Vasantapura Temple Kalyani),Kalyanikunte (Near Saibaba Temple),BBMP,South,Vasanthapura,0.44,monsoon (Jun-Sep) 2026,6,Design first,holds 12% of its extent; froth 14/yr; nothing on record; boundary or built-up question,E,C1=E(D/E) C4=C(A/C/E) C8=E,Low,Unknown,Steady,none,,,,2.05,insufficient,0.0907,0.2361,0.2399,,,82.8,0.121,,,14,0,0,,medium,,C1 candidates D/E; C4 candidates A/C/E
80,gba-bbmp-145,Shivanahalli Lake,Shivanahalli Lake,BBMP,North,Nyayanga Badavane,0.43,monsoon (Jun-Sep) 2026,7,Design first,holds 2% of its extent; froth 36/yr; nothing on record; boundary or built-up question,E,C1=E C4=A C8=E,Low,Unknown,Steady,none,,,,2.05,insufficient,0.0166,0.0,0.0506,,,20.8,0.016,,,36.43,0,0,,low,assignment_unverified,
81,gba-bbmp-079,Chikka Begur Lake,Chikka Begur Lake,BBMP,South,Vishwapriya Nagara,9.84,monsoon (Jun-Sep) 2026,7,Design first,no open water seen since 2017; budget line on record,D,C3=D C4=E C8=A,Medium,Unknown,Rising,proposed,BBMP lakes department allocation 2025-26 (Rs 75 cr) Rs 10 cr,compilation,,2.15,low,0.0,0.8125,0.0773,,,3.7,,0.1543,0.152,0.14,1,2413,3,low,no_water_observed;osm_mostly_dry,no open water observed 2017-2026: boundary and hydrology to scope
82,gba-bbmp-030,Pattandur agrahara lake-124,Pattandur agrahara lake-124,BBMP,East,S.M Krishna Ward,4.52,monsoon (Jun-Sep) 2026,8,Design first,no open water seen since 2017; nothing on record,D,C3=D(C/D) C4=E C8=A,Medium (lifted: cascade),Unknown,Rising,none,,,,2.15,low,0.0,0.9183,0.0801,,,14.3,,0.1022,0.101,0,2,885,1,low,no_water_observed;osm_mostly_dry,C3 candidates C/D; no open water observed 2017-2026: boundary and hydrology to scope
83,gba-bbmp-126,Kodigehalli lake,Kodigehalli lake / Bangalore North,BBMP,,,3.26,monsoon (Jun-Sep) 2026,7,Design first,vegetation 38%; holds 49% of its extent; built 18%; nothing on record,D,C1=D(C/D/E) C3=D(D/E) C4=D(C/D/E) C5=C(B/C/D) C8=A,Medium (lifted: cascade),Medium,Rising,none,,,,2.15,low,0.2511,0.3776,0.1126,0.1825,50.0,13.3,0.49,0.1836,0.169,0.14,3,2488,2,medium,,C1 candidates C/D/E; C3 candidates D/E; C4 candidates C/D/E; C5 candidates B/C/D
84,gba-bbmp-019,Garudachar Palya (Goshala) Lake (Goshala Lake),Garudachar Palya (Goshala) Lake,BBMP,East,Garudachar Palya,2.68,monsoon (Jun-Sep) 2026,8,Design first,holds 34% of its extent; chlorophyll proxy 0.29; froth 23/yr; regulator D; nothing on record; boundary or built-up question,D,C1=D(D/E) C4=B(A/B/C) C5=D(C/D/E) C8=E G2=D,Medium (lifted: cascade),Unknown,Steady,none,,,D,1.9,low,0.3117,0.1173,0.1108,0.2914,68.8,50.0,0.335,,,23.14,2,1,1,low,observed_max_dominates,C1 candidates D/E; C4 candidates A/B/C; C5 candidates C/D/E
85,gba-bbmp-111,Manganahalli Lake,Mangammanahalli lake,BBMP,,,1.14,monsoon (Jun-Sep) 2026,5,Design first,vegetation 54%; holds 31% of its extent; nothing on record; boundary or built-up question,D,C1=D(C/D/E) C4=E(D/E) C8=A,Medium (lifted: cascade),Unknown,Steady,none,,,,1.9,insufficient,0.184,0.5368,0.1747,,,36.8,0.313,,,0.14,4,1009,1,medium,,C1 candidates C/D/E; C4 candidates D/E
86,gba-bbmp-171,Mallasandra Lake,Mallasandra gudde Lake,BBMP,North,Mallasandra,4.42,monsoon (Jun-Sep) 2026,6,Design first,no open water seen since 2017; nothing on record,D,C3=D(D/E) C4=E C8=A,Low,Unknown,Steady,none,,,,1.6,low,0.0001,0.9987,0.054,,,43.6,,0.1945,0.018,0,1,1291,1,low,no_water_observed;osm_mostly_dry,C3 candidates D/E; no open water observed 2017-2026: boundary and hydrology to scope
87,gba-bbmp-169,Bagalagunte Lake,Bagalagunte Lake,BBMP,North,Bagalagunte,2.99,monsoon (Jun-Sep) 2026,8,Design first,vegetation 52%; holds 42% of its extent; built 18%; nothing on record,D,C1=D(C/D/E) C3=D(D/E) C4=E C5=C(B/C) C8=B,Low,Medium,Steady,none,,,,1.6,low,0.2344,0.5188,0.1168,0.1215,58.3,30.6,0.42,0.1816,-0.554,0.57,0,3324,2,medium,,C1 candidates C/D/E; C3 candidates D/E; C5 candidates B/C
88,gba-bbmp-032,Gunjuru Lake,Gunjur mouji kere,BBMP,East,Gunjur,20.64,monsoon (Jun-Sep) 2026,10,Design first,vegetation 35%; holds 2% of its extent; works on record,C,C1=E(B/E) C3=C(B/C) C4=D(C/D/E) C5=B(B/C) C8=B,High,High,Rising,works underway,works approaching completion by Nov 2025 (7 lakes; 240 acres),compilation,,2.0,low,0.0013,0.3487,0.0722,0.0854,64.3,11.8,0.017,0.0689,0.068,1.57,0,1296,4,medium,osm_mostly_dry,C1 candidates B/E; C3 candidates B/C; C4 candidates C/D/E; C5 candidates B/C; single severe input C1: little or no water in the reading window; storage and inflow to scope
89,gba-bbmp-167,Nelagadiranahalli Hosakere,Nelagedaranahalli Lake,BBMP,West,Shivapura,5.86,monsoon (Jun-Sep) 2026,6,Design first,holds 5% of its extent; budget line on record,C,C1=E C3=C(B/C) C4=C(B/C/D) C8=B,High (lifted: cascade),High,Steady,proposed,BBMP budget 2025-26 (24 lakes; Rs 50 cr),press,,1.75,medium,0.0394,0.2279,0.0893,,,27.6,0.051,0.0684,0.0,0.57,2,1261,1,medium,,C3 candidates B/C; C4 candidates B/C/D; single severe input C1: little or no water in the reading window; storage and inflow to scope
90,gba-bbmp-138,Chikkabettahalli Lake,Chikka Bettahalli Lake,BBMP,North,Attur,2.02,monsoon (Jun-Sep) 2026,6,Design first,holds 0% of its extent; nothing on record,C,C1=E C3=B(A/B) C4=C(B/C/E) C8=C,Medium (lifted: cascade),High,Rising,none,,,,1.7,low,0.0042,0.2935,0.1305,,,94.3,0.005,0.0114,-0.989,3.29,4,437,1,medium,,C3 candidates A/B; C4 candidates B/C/E; single severe input C1: little or no water in the reading window; storage and inflow to scope
91,gba-bbmp-200,Vaderahalli,Vaderahalli,BBMP,,,2.43,monsoon (Jun-Sep) 2026,6,Design first,holds 28% of its extent; built 11%; nothing on record,C,C1=E(D/E) C3=D(C/D) C4=C(B/C/D) C5=C(C/D) C8=C,Medium (lifted: cascade),Medium,Steady,none,,,,1.45,low,0.1602,0.2262,0.1131,0.1907,67.9,39.5,0.28,0.1073,-0.266,5.43,2,782,1,medium,,C1 candidates D/E; C3 candidates C/D; C4 candidates B/C/D; C5 candidates C/D; single severe input C1: little or no water in the reading window; storage and inflow to scope
92,gba-bbmp-085,Swarnakunte Gudda Kere (Chandrasekhar Layout Lake),Swarnakunte Gudda Kere,BBMP,South,Yelenahalli,1.55,pre-monsoon (Mar-May) 2026,19,Design first,vegetation 38%; holds 3% of its extent; nothing on record,C,C1=E C3=A(A/B) C4=D(C/D/E) C5=C(B/C/D) C8=B,Low,Medium,Steady,none,,,,1.15,low,0.0129,0.3817,0.1472,0.1447,33.3,19.6,0.026,0.0,-0.1,0.71,1,170,1,low,assignment_unverified,C3 candidates A/B; C4 candidates C/D/E; C5 candidates B/C/D; single severe input C1: little or no water in the reading window; storage and inflow to scope
93,gba-bbmp-047,Bande Mahadevapura kere,Mahadevapura Lake-2,BBMP,East,Mahadevapura,1.63,monsoon (Jun-Sep) 2026,8,Design first,holds 27% of its extent; froth 7/yr; nothing on record; boundary or built-up question,C,C1=E(D/E) C4=B(A/B/C) C5=C(B/C) C8=D,Low,Unknown,Steady,none,,,,1.15,insufficient,0.2591,0.125,0.1354,0.127,50.0,70.0,0.272,,,6.71,0,0,,low,observed_max_dominates;assignment_unverified,C1 candidates D/E; C4 candidates A/B/C; C5 candidates B/C; single severe input C1: little or no water in the reading window; storage and inflow to scope
94,gba-bbmp-021,Sadaramangala Lake,Sadaramangala Lake,BBMP,East,Belathur,0.1,monsoon (Jun-Sep) 2026,12,Design first,no open water seen since 2017; nothing on record,C,C8=A G2=E,Low,Unknown,Unknown,none,,,E,1.15,insufficient,,,,,,,,,,0,0,0,,low,no_water_observed;osm_mostly_dry,no open water observed 2017-2026: boundary and hydrology to scope
95,gba-bbmp-123,Mylasandra (Sunnakallu palya) lake,Mylasandra (Sunnakallu palya) lake,BBMP,West,Kengal Hanumanthaiah West,0.73,monsoon (Jun-Sep) 2026,5,Design first,no open water seen since 2017; nothing on record,C,C4=E(A/E) C8=A,Low,Unknown,Easing,none,,,,0.9,insufficient,0.0,0.6209,0.5352,,,3.0,,,,0,0,0,,low,no_water_observed;osm_mostly_dry,C4 candidates A/E; no open water observed 2017-2026: boundary and hydrology to scope
96,gba-bbmp-144,Srinivasapura Lake,Srinivasapura Lake,BBMP,North,Kogilu,0.33,monsoon (Jun-Sep) 2026,5,Design first,no open water seen since 2017; nothing on record,C,C4=A(A/B) C8=E,Low,Unknown,Easing,none,,,,0.9,insufficient,0.0178,0.0143,0.134,,,5.7,,,,10.29,0,0,,low,no_water_observed;osm_mostly_dry,C4 candidates A/B; no open water observed 2017-2026: boundary and hydrology to scope
97,gba-forest-003,Hebbal Lake,Hebbala Lake,Forest Department,North,Rajiv Gandhi Nagar,46.6,monsoon (Jun-Sep) 2026,5,Design first,holds 2% of its extent; budget line on record,B,C1=E C3=A(A/B) C4=B(B/C) C5=C(B/C) C8=A,High,High,Steady,proposed,NDMF grant 2025 (7 lakes; Rs 65 cr),compilation,,1.3,low,0.0175,0.181,0.062,0.1265,28.6,25.0,0.021,0.0,0.0,0.43,1,26177,1,medium,,C3 candidates A/B; C4 candidates B/C; C5 candidates B/C; single severe input C1: little or no water in the reading window; storage and inflow to scope
98,gba-bbmp-028,Chikka Bellanduru Lake,Chikkabellandur Lake,BBMP,East,Gunjur,20.11,monsoon (Jun-Sep) 2026,8,Design first,holds 0% of its extent; budget line on record,B,C1=E C3=B(A/B) C4=B(A/B) C8=A,High,High,Easing,proposed,NDMF grant 2025 (7 lakes; Rs 65 cr),compilation,,1.05,medium,0.0,0.12,0.0653,,,0.0,0.0,0.0299,-0.016,0,2,4213,3,medium,,C3 candidates A/B; C4 candidates A/B; single severe input C1: little or no water in the reading window; storage and inflow to scope
99,gba-forest-004,Nagawara Lake,Nagavara Lake,Forest Department,North,Kempapura,30.27,monsoon (Jun-Sep) 2026,7,Design first,holds 18% of its extent; budget line on record,B,C1=E C3=A(A/B) C4=B(A/B/C) C5=B C8=A,High,High,Easing,proposed,NDMF grant 2025 (7 lakes; Rs 65 cr),compilation,,1.05,low,0.1254,0.1635,0.0643,0.0658,0.0,6.9,0.182,0.0087,0.001,0.29,0,27369,2,medium,,C3 candidates A/B; C4 candidates A/B/C; single severe input C1: little or no water in the reading window; storage and inflow to scope
100,gba-bbmp-058,B. Channasandra,B. Channasandra,BBMP,East,Dooravaninagar,2.9,monsoon (Jun-Sep) 2026,8,Design first,no open water seen since 2017; nothing on record,B,C3=B(A/B) C4=E C8=A,Low,Unknown,Easing,none,,,,0.45,low,0.0,0.9479,0.0817,,,2.9,,0.0212,0.021,0,1,3872,2,low,no_water_observed;osm_mostly_dry,C3 candidates A/B; no open water observed 2017-2026: boundary and hydrology to scope
101,gba-bbmp-198,Ramagondanahalli Lake,Ramagondahalli,BBMP,,,11.3,monsoon (Jun-Sep) 2026,6,Design first,holds 23% of its extent; nothing on record,A,C1=E(D/E) C3=A(A/B) C4=A C5=B C8=A,High (lifted: cascade),High,Easing,none,,,,0.6,low,0.1872,0.0163,0.058,0.0507,6.2,0.0,0.233,0.0002,0.0,0,3,670,2,medium,,C1 candidates D/E; C3 candidates A/B; single severe input C1: little or no water in the reading window; storage and inflow to scope
102,gba-bbmp-016,Kundalahalli Lake,Kundalahalli Lake,BBMP,East,Kundalahalli,11.41,monsoon (Jun-Sep) 2026,8,Watch / verify,"chlorophyll proxy 0.36 alone, not a verdict",C,C1=C(C/D) C3=A(A/B) C4=B(B/C) C5=D(D/E) C8=E G2=D,High (lifted: cascade),High,Rising,none,,,D,2.0,low,0.4772,0.1918,0.0787,0.3611,94.4,71.1,0.51,0.0017,0.0,26,3,612,1,medium,,"C1 candidates C/D; C3 candidates A/B; C4 candidates B/C; C5 candidates D/E; single severe input C8: flagged for a closer read, not a verdict"
103,gba-bbmp-026,Nallurahalli Lake,Nalluralli tank,BBMP,East,S.M Krishna Ward,9.43,monsoon (Jun-Sep) 2026,9,Watch / verify,"vegetation 52% alone, not a verdict",C,C1=D(C/D) C3=B(A/B) C4=E C5=C(B/C/D) C8=B G2=D,High (lifted: cascade),High,Rising,none,,,D,2.0,low,0.3661,0.525,0.0859,0.1415,67.9,93.9,0.421,0.0209,0.021,0.86,2,1191,2,medium,,"C1 candidates C/D; C3 candidates A/B; C5 candidates B/C/D; single severe input C4: flagged for a closer read, not a verdict"
104,gba-bbmp-071,Dore Kere,Dorekere,BBMP,South,Uttarahalli,9.1,monsoon (Jun-Sep) 2026,6,Watch / verify,"vegetation 48% alone, not a verdict",C,C1=C(C/D) C3=C(B/C) C4=E(D/E) C5=D(B/D/E) C8=B G2=D,High (lifted: cascade),High,Rising,proposed,BBMP budget 2025-26 (24 lakes; Rs 50 cr),press,D,2.0,low,0.4525,0.4813,0.086,0.2344,22.7,86.4,0.515,0.0685,0.052,0.57,0,16812,3,medium,,"C1 candidates C/D; C3 candidates B/C; C4 candidates D/E; C5 candidates B/D/E; single severe input C4: flagged for a closer read, not a verdict"
105,gba-forest-001,Madiwala Lake,Madivala Lake,Forest Department,South,Bilekahalli,91.01,monsoon (Jun-Sep) 2026,4,Watch / verify,"vegetation 55% alone, not a verdict",C,C1=D(D/E) C3=A(A/B) C4=E C5=C(B/C) C8=B G2=D,High,High,Steady,none,,,D,1.75,low,0.2854,0.5533,0.0619,0.1043,21.4,89.7,0.335,0.0059,0.0,0.71,0,35961,4,medium,,"C1 candidates D/E; C3 candidates A/B; C5 candidates B/C; single severe input C4: flagged for a closer read, not a verdict"
106,gba-bbmp-075,Begur Lake,Begur Lake,BBMP,South,Beguru,43.32,pre-monsoon (Mar-May) 2026,17,Watch / verify,"vegetation 42% alone, not a verdict",C,C1=C(B/C) C3=A(A/B) C4=E(D/E) C5=D(C/D) C8=B G2=D,High,High,Steady,none,,,D,1.75,low,0.5273,0.4194,0.0657,0.2591,61.4,41.5,0.677,0.0003,-0.013,1,0,5127,4,medium,,"C1 candidates B/C; C3 candidates A/B; C4 candidates D/E; C5 candidates C/D; single severe input C4: flagged for a closer read, not a verdict"
